# topo=star: 設計の選択ごと・娘 n 枚。値は不確かな角の最悪
plan | design | n | Zpk(20k-3M) Ω @f | worst corner | Zpk(100-20k) Ω @f | Z@200k Ω | Zmax(200k-1M) @f | Tpk(1k-3M) @f | T@200k | Tmax(200k-1M) @f
3 | +100µ ESR 0.02 / Rser 0.1 | 3 | 0.843 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.257 @7k | 0.615 | 0.573 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.02 / Rser 0.1 | 4 | 0.850 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.255 @7k | 0.617 | 0.577 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.02 / Rser 0.15 | 1 | 0.633 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.309 @7k | 0.519 | 0.467 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.02 / Rser 0.15 | 2 | 0.637 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.307 @7k | 0.520 | 0.468 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.02 / Rser 0.15 | 3 | 0.640 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.306 @7k | 0.521 | 0.469 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.02 / Rser 0.15 | 4 | 0.642 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.304 @7k | 0.522 | 0.469 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.02 / Rser 0.2 | 1 | 0.535 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.358 @7k | 0.454 | 0.419 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.02 / Rser 0.2 | 2 | 0.536 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.357 @7k | 0.455 | 0.419 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.02 / Rser 0.2 | 3 | 0.538 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.355 @7k | 0.456 | 0.420 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.02 / Rser 0.2 | 4 | 0.539 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.353 @7k | 0.457 | 0.420 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.02 / Rser 0.33 | 1 | 0.441 @133k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.486 @7k | 0.364 | 0.343 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.02 / Rser 0.33 | 2 | 0.441 @133k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.485 @7k | 0.364 | 0.344 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.02 / Rser 0.33 | 3 | 0.441 @133k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.483 @7k | 0.364 | 0.344 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.02 / Rser 0.33 | 4 | 0.442 @133k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.482 @7k | 0.364 | 0.344 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.02 / Rser 0.5 | 1 | 0.517 @21k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.654 @7k | 0.316 | 0.300 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.02 / Rser 0.5 | 2 | 0.517 @21k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.652 @7k | 0.316 | 0.300 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.02 / Rser 0.5 | 3 | 0.517 @21k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.651 @7k | 0.316 | 0.300 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.02 / Rser 0.5 | 4 | 0.516 @21k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.649 @6k | 0.316 | 0.300 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.1 / Rser 0.05 | 1 | 1.053 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.192 @7k | 0.717 | 0.714 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.1 / Rser 0.05 | 2 | 1.178 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.191 @7k | 0.777 | 0.785 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.1 / Rser 0.05 | 3 | 1.255 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.190 @7k | 0.826 | 0.831 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.1 / Rser 0.05 | 4 | 1.307 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.189 @7k | 0.859 | 0.863 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.1 / Rser 0.1 | 1 | 0.730 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.241 @7k | 0.586 | 0.516 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.1 / Rser 0.1 | 2 | 0.764 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.240 @7k | 0.587 | 0.524 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.1 / Rser 0.1 | 3 | 0.788 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.239 @7k | 0.590 | 0.539 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.1 / Rser 0.1 | 4 | 0.806 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.239 @7k | 0.594 | 0.550 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.1 / Rser 0.15 | 1 | 0.582 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.291 @7k | 0.497 | 0.453 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.1 / Rser 0.15 | 2 | 0.595 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.290 @7k | 0.500 | 0.454 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.1 / Rser 0.15 | 3 | 0.606 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.289 @7k | 0.503 | 0.455 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.1 / Rser 0.15 | 4 | 0.614 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.288 @7k | 0.506 | 0.457 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.1 / Rser 0.2 | 1 | 0.502 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.340 @7k | 0.437 | 0.407 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.1 / Rser 0.2 | 2 | 0.509 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.340 @7k | 0.440 | 0.408 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.1 / Rser 0.2 | 3 | 0.514 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.339 @7k | 0.442 | 0.409 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.1 / Rser 0.2 | 4 | 0.519 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.338 @7k | 0.444 | 0.411 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.1 / Rser 0.33 | 1 | 0.430 @126k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.470 @7k | 0.355 | 0.336 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.1 / Rser 0.33 | 2 | 0.431 @133k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.469 @7k | 0.356 | 0.337 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.1 / Rser 0.33 | 3 | 0.432 @133k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.468 @7k | 0.357 | 0.338 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.1 / Rser 0.33 | 4 | 0.433 @133k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.467 @7k | 0.358 | 0.339 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.1 / Rser 0.5 | 1 | 0.554 @21k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.638 @7k | 0.312 | 0.296 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.1 / Rser 0.5 | 2 | 0.551 @21k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.637 @7k | 0.312 | 0.297 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.1 / Rser 0.5 | 3 | 0.549 @21k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.636 @7k | 0.312 | 0.297 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.1 / Rser 0.5 | 4 | 0.547 @21k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.635 @7k | 0.313 | 0.297 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.3 / Rser 0.05 | 1 | 0.973 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.214 @13k | 0.710 | 0.666 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.3 / Rser 0.05 | 2 | 1.132 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.212 @13k | 0.746 | 0.756 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.3 / Rser 0.05 | 3 | 1.226 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.210 @13k | 0.807 | 0.812 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.3 / Rser 0.05 | 4 | 1.287 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.208 @12k | 0.846 | 0.850 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.3 / Rser 0.1 | 1 | 0.693 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.264 @13k | 0.576 | 0.511 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.3 / Rser 0.1 | 2 | 0.739 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.262 @13k | 0.576 | 0.509 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.3 / Rser 0.1 | 3 | 0.770 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.260 @12k | 0.580 | 0.528 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.3 / Rser 0.1 | 4 | 0.793 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.258 @12k | 0.585 | 0.542 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.3 / Rser 0.15 | 1 | 0.561 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.314 @13k | 0.488 | 0.448 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.3 / Rser 0.15 | 2 | 0.580 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.311 @13k | 0.491 | 0.448 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.3 / Rser 0.15 | 3 | 0.594 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.309 @12k | 0.496 | 0.450 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.3 / Rser 0.15 | 4 | 0.605 @168k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.307 @12k | 0.500 | 0.452 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.3 / Rser 0.2 | 1 | 0.487 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.363 @13k | 0.430 | 0.402 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.3 / Rser 0.2 | 2 | 0.498 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.361 @12k | 0.434 | 0.403 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.3 / Rser 0.2 | 3 | 0.505 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.359 @12k | 0.437 | 0.405 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.3 / Rser 0.2 | 4 | 0.512 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.357 @12k | 0.440 | 0.407 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.3 / Rser 0.33 | 1 | 0.439 @21k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.491 @13k | 0.351 | 0.333 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.3 / Rser 0.33 | 2 | 0.433 @21k | L300n R0.01 lo srcA e201=0.05 k=1 | 0.489 @12k | 0.353 | 0.334 @211k | 1.09 @106k | 0.767 | 0.725 @211k
