# topo=chain: 設計の選択ごと・娘 n 枚。値は不確かな角の最悪
plan | design | n | Zpk(20k-3M) Ω @f | worst corner | Zpk(100-20k) Ω @f | Z@200k Ω | Zmax(200k-1M) @f | Tpk(1k-3M) @f | T@200k | Tmax(200k-1M) @f
3 | +100µ ESR 0.02 / Rser 0.5 | 4 | 0.937 @56k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.791 @3k | 0.286 | 0.272 @211k | 1.86 @53k | 0.334 | 0.314 @211k
3 | +100µ ESR 0.1 / Rser 0.05 | 1 | 1.054 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 1.022 @3k | 0.718 | 0.715 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.1 / Rser 0.05 | 2 | 1.375 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.065 @3k | 0.465 | 0.478 @282k | 6.99 @106k | 3.079 | 2.434 @211k
3 | +100µ ESR 0.1 / Rser 0.05 | 3 | 1.420 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.104 @3k | 0.541 | 0.567 @211k | 8.16 @75k | 1.504 | 1.496 @211k
3 | +100µ ESR 0.1 / Rser 0.05 | 4 | 1.394 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.140 @3k | 0.363 | 0.401 @266k | 7.75 @60k | 1.521 | 1.365 @211k
3 | +100µ ESR 0.1 / Rser 0.1 | 1 | 0.730 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 1.072 @3k | 0.587 | 0.517 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.1 / Rser 0.1 | 2 | 1.061 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.114 @3k | 0.391 | 0.367 @211k | 4.47 @100k | 2.127 | 1.831 @211k
3 | +100µ ESR 0.1 / Rser 0.1 | 3 | 1.184 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.152 @3k | 0.390 | 0.397 @211k | 5.52 @75k | 0.994 | 0.894 @211k
3 | +100µ ESR 0.1 / Rser 0.1 | 4 | 1.227 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.190 @3k | 0.345 | 0.319 @211k | 5.77 @56k | 0.980 | 0.922 @211k
3 | +100µ ESR 0.1 / Rser 0.15 | 1 | 0.582 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 1.122 @3k | 0.497 | 0.453 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.1 / Rser 0.15 | 2 | 0.889 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.163 @3k | 0.352 | 0.336 @211k | 3.27 @100k | 1.571 | 1.405 @211k
3 | +100µ ESR 0.1 / Rser 0.15 | 3 | 1.038 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.201 @3k | 0.336 | 0.337 @211k | 4.15 @75k | 0.873 | 0.766 @211k
3 | +100µ ESR 0.1 / Rser 0.15 | 4 | 1.116 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.239 @3k | 0.331 | 0.312 @211k | 4.63 @56k | 0.749 | 0.716 @211k
3 | +100µ ESR 0.1 / Rser 0.2 | 1 | 0.502 @158k | L300n R0.01 lo srcA e201=0.05 k=1 | 1.171 @3k | 0.437 | 0.407 @211k | 1.56 @150k | 1.228 | 1.162 @211k
3 | +100µ ESR 0.1 / Rser 0.2 | 2 | 0.785 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.212 @3k | 0.336 | 0.315 @211k | 2.56 @100k | 1.227 | 1.118 @211k
3 | +100µ ESR 0.1 / Rser 0.2 | 3 | 0.947 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.250 @3k | 0.310 | 0.307 @211k | 3.31 @75k | 0.767 | 0.673 @211k
3 | +100µ ESR 0.1 / Rser 0.2 | 4 | 1.040 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.289 @3k | 0.318 | 0.303 @211k | 3.85 @56k | 0.612 | 0.587 @211k
3 | +100µ ESR 0.1 / Rser 0.33 | 1 | 0.459 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.300 @3k | 0.355 | 0.336 @211k | 1.09 @106k | 0.767 | 0.725 @211k
3 | +100µ ESR 0.1 / Rser 0.33 | 2 | 0.655 @100k | L300n R0.01 lo srcC e201=0.05 k=2 | 1.340 @3k | 0.325 | 0.303 @211k | 1.64 @94k | 0.766 | 0.712 @211k
3 | +100µ ESR 0.1 / Rser 0.33 | 3 | 0.822 @75k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.376 @3k | 0.294 | 0.277 @211k | 2.19 @71k | 0.573 | 0.509 @211k
3 | +100µ ESR 0.1 / Rser 0.33 | 4 | 0.933 @60k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.417 @3k | 0.298 | 0.284 @211k | 2.64 @56k | 0.418 | 0.400 @211k
3 | +100µ ESR 0.1 / Rser 0.5 | 1 | 0.618 @21k | L300n R0.05 lo srcA e201=0.3 k=1 | 1.468 @3k | 0.312 | 0.296 @211k | 1.00 @1k | 0.514 | 0.486 @211k
3 | +100µ ESR 0.1 / Rser 0.5 | 2 | 0.671 @21k | L300n R0.05 lo srcA e201=0.3 k=2 | 1.507 @3k | 0.308 | 0.290 @211k | 1.18 @75k | 0.510 | 0.478 @211k
3 | +100µ ESR 0.1 / Rser 0.5 | 3 | 0.766 @71k | L300n R0.01 lo srcC e201=0.05 k=3 | 1.542 @3k | 0.290 | 0.274 @211k | 1.53 @63k | 0.427 | 0.387 @211k
3 | +100µ ESR 0.1 / Rser 0.5 | 4 | 0.883 @56k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.585 @3k | 0.287 | 0.272 @211k | 1.86 @53k | 0.334 | 0.314 @211k
3 | +100µ ESR 0.3 / Rser 0.05 | 1 | 0.975 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.848 @0k | 0.711 | 0.667 @211k | 4.85 @168k | 3.974 | 3.751 @211k
3 | +100µ ESR 0.3 / Rser 0.05 | 2 | 1.252 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.898 @0k | 0.441 | 0.474 @282k | 6.99 @106k | 3.079 | 2.434 @211k
3 | +100µ ESR 0.3 / Rser 0.05 | 3 | 1.323 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 0.948 @0k | 0.526 | 0.554 @211k | 8.16 @75k | 1.504 | 1.496 @211k
3 | +100µ ESR 0.3 / Rser 0.05 | 4 | 1.296 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 0.998 @0k | 0.371 | 0.398 @266k | 7.75 @60k | 1.521 | 1.365 @211k
3 | +100µ ESR 0.3 / Rser 0.1 | 1 | 0.694 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.898 @0k | 0.577 | 0.512 @211k | 2.78 @158k | 2.283 | 2.159 @211k
3 | +100µ ESR 0.3 / Rser 0.1 | 2 | 0.992 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.948 @0k | 0.376 | 0.358 @211k | 4.47 @100k | 2.127 | 1.831 @211k
3 | +100µ ESR 0.3 / Rser 0.1 | 3 | 1.117 @79k | L300n R0.01 lo srcC e201=0.05 k=3 | 0.998 @0k | 0.384 | 0.392 @211k | 5.52 @75k | 0.994 | 0.894 @211k
3 | +100µ ESR 0.3 / Rser 0.1 | 4 | 1.149 @63k | L300n R0.01 lo srcC e201=0.05 k=4 | 1.048 @0k | 0.348 | 0.323 @211k | 5.77 @56k | 0.980 | 0.922 @211k
3 | +100µ ESR 0.3 / Rser 0.15 | 1 | 0.561 @168k | L300n R0.01 lo srcC e201=0.05 k=1 | 0.948 @0k | 0.489 | 0.448 @211k | 1.98 @158k | 1.598 | 1.511 @211k
3 | +100µ ESR 0.3 / Rser 0.15 | 2 | 0.845 @106k | L300n R0.01 lo srcC e201=0.05 k=2 | 0.998 @0k | 0.357 | 0.329 @211k | 3.27 @100k | 1.571 | 1.405 @211k
